Area,BHK,Bathroom,Location,Price
2103,1,2,Jamnagar,9074343
2269,1,2,Anand,10205171
2159,5,2,Rajkot,10749023
3055,2,3,Gandhinagar,16963889
2954,5,4,Bhavnagar,14902276
2685,3,3,Vadodara,14886734
3180,3,1,Jamnagar,12197025
3586,3,2,Bhavnagar,13933161
4535,5,2,Ahmedabad,18538543
3395,2,3,Nadiad,16343012
4269,4,3,Jamnagar,17162131
3858,3,2,Surat,15882521
3560,1,1,Rajkot,16802352
4267,5,1,Rajkot,16576738
3794,2,3,Anand,16150622
1198,5,4,Bhavnagar,6955639
1548,5,4,Vadodara,9037535
902,3,4,Surat,7113417
3082,2,2,Surat,13222467
933,5,4,Surat,7525378
2675,1,4,Nadiad,12441520
1791,3,2,Gandhinagar,10118669
852,4,1,Junagadh,5796730
1012,4,4,Ahmedabad,7382459
3065,5,1,Vadodara,14309693
4205,5,1,Jamnagar,15446198
3418,3,1,Ahmedabad,15875126
3778,5,4,Gandhinagar,17340715
891,5,4,Porbandar,6762663
1099,2,2,Junagadh,6392827
1446,3,3,Anand,9050142
1225,4,1,Gandhinagar,8408782
1913,3,3,Gandhinagar,11395440
3504,3,4,Nadiad,13579485
1806,1,1,Bhavnagar,9668402
1098,3,1,Bhavnagar,6334238
1729,4,2,Anand,10708299
1185,4,2,Anand,7035683
4003,1,3,Porbandar,17482263
3601,2,4,Vadodara,16948929
1666,3,1,Nadiad,8691026
2691,2,3,Vadodara,13481063
1477,2,4,Rajkot,8153896
4145,3,3,Bhavnagar,17027700
3222,3,1,Anand,13642723
1811,4,2,Bhavnagar,9254190
600,1,2,Nadiad,5192418
4573,4,4,Vadodara,21000102
585,5,3,Gandhinagar,6787700
902,5,3,Gandhinagar,8283022
2728,4,2,Porbandar,11478724
4594,4,2,Anand,17385640
1335,3,2,Bhavnagar,7263825
2419,3,2,Vadodara,12074296
2024,4,3,Ahmedabad,12732127
1047,1,2,Surat,8311582
4921,1,3,Nadiad,22373580
802,1,4,Jamnagar,5258895
3388,3,1,Surat,16469360
4057,5,4,Jamnagar,17950731
1106,1,1,Bhavnagar,6180995
2785,1,2,Junagadh,10640602
3025,3,3,Surat,15703906
3900,3,2,Nadiad,16458289
2673,5,1,Bhavnagar,11973698
4290,3,2,Vadodara,18531602
4123,4,2,Gandhinagar,20492723
3980,2,4,Surat,20204157
2297,5,1,Ahmedabad,11396272
3373,5,2,Bhavnagar,15017623
2846,3,4,Ahmedabad,13397159
2130,4,3,Junagadh,11043500
1494,5,4,Surat,9567419
1837,2,1,Porbandar,9390964
3897,1,3,Rajkot,17616521
3854,5,3,Nadiad,15802726
4749,3,3,Junagadh,17473406
2956,5,2,Junagadh,13901687
2898,5,4,Jamnagar,14296799
4058,4,3,Jamnagar,19909672
3746,3,3,Surat,19924457
1265,4,3,Bhavnagar,7677643
4177,5,1,Vadodara,17257535
3666,3,4,Nadiad,15309980
1604,3,1,Ahmedabad,9258674
4692,1,4,Rajkot,21911592
4366,3,2,Vadodara,19779551
2260,3,1,Gandhinagar,12222917
974,4,4,Bhavnagar,6295323
2297,5,4,Nadiad,10801395
1874,2,1,Bhavnagar,8161495
2990,3,1,Junagadh,11430699
1896,5,2,Anand,10893374
1979,4,1,Vadodara,9506644
3759,1,3,Bhavnagar,15586253
1502,5,2,Jamnagar,7396847
1259,3,2,Ahmedabad,8865591
2795,2,3,Vadodara,15368214
3550,5,4,Vadodara,15405667
514,3,4,Surat,6184952
2280,3,1,Porbandar,10905645
4695,1,4,Junagadh,20828745
4246,5,4,Bhavnagar,19106825
653,5,4,Nadiad,5671932
3572,4,2,Ahmedabad,14975391
2241,4,2,Rajkot,10145192
2660,3,2,Anand,13544175
1961,5,2,Ahmedabad,10618145
3269,4,4,Vadodara,16313589
1184,5,2,Rajkot,7093386
4374,2,1,Anand,21837326
4831,4,3,Gandhinagar,24842839
1243,5,3,Jamnagar,7805405
1983,1,2,Rajkot,9469738
3445,4,3,Surat,15435680
3829,5,1,Porbandar,15766975
2686,4,2,Nadiad,12694444
4708,4,4,Junagadh,16098525
4297,1,3,Anand,20745620
2445,5,4,Jamnagar,10966892
4987,4,1,Anand,24212906
1607,5,3,Bhavnagar,7393758
965,1,3,Surat,8241978
4622,2,3,Anand,17394911
2604,4,3,Nadiad,13398687
2111,3,3,Nadiad,9508108
1772,1,1,Anand,10235286
1728,3,4,Nadiad,8288666
4297,5,4,Ahmedabad,19474388
1813,4,4,Rajkot,10332082
3470,5,3,Porbandar,16517714
2803,4,3,Ahmedabad,15856440
4941,3,3,Anand,18011301
1124,3,1,Surat,7931350
2636,5,4,Vadodara,12848849
1359,1,4,Nadiad,8283893
1691,1,3,Nadiad,8483126
4250,5,2,Rajkot,16960782
2252,5,1,Jamnagar,11321714
4967,3,4,Anand,18524797
2075,3,3,Rajkot,10177709
3015,3,2,Nadiad,13551400
1759,3,2,Porbandar,9196833
4468,2,2,Gandhinagar,19603611
4976,2,2,Anand,19403404
3760,3,3,Anand,15318648
2489,2,1,Rajkot,11260871
1638,5,1,Bhavnagar,8931818
2032,4,4,Jamnagar,8705885
1493,3,2,Anand,8943664
1325,4,3,Vadodara,8255864
4617,4,4,Anand,16811845
2513,3,3,Junagadh,10209671
1743,5,2,Nadiad,8767573
3679,2,1,Porbandar,17438824
3519,2,3,Anand,17380837
4494,3,1,Vadodara,21818784
1228,3,1,Gandhinagar,9950541
2156,5,4,Bhavnagar,9134263
1020,4,1,Nadiad,7532791
2993,3,4,Jamnagar,14134747
1390,1,3,Ahmedabad,9742473
4962,3,2,Gandhinagar,21552375
3363,4,1,Jamnagar,14814328
1106,1,3,Jamnagar,6598267
2091,2,3,Vadodara,11706025
3348,5,4,Porbandar,14423662
4757,1,4,Ahmedabad,21562055
934,5,4,Ahmedabad,7752089
1654,5,3,Gandhinagar,11672797
3240,1,1,Nadiad,14090353
4312,4,1,Jamnagar,17428801
4632,3,3,Bhavnagar,18150849
2966,3,1,Gandhinagar,16198329
3084,3,3,Vadodara,13259285
3202,5,1,Vadodara,14978724
1390,5,3,Bhavnagar,7659204
1943,3,3,Anand,11562230
4109,3,3,Porbandar,18354494
1820,3,2,Anand,11082602
1133,1,1,Surat,8335205
4946,5,4,Bhavnagar,17763814
4117,4,2,Jamnagar,19309828
1761,2,4,Rajkot,10255127
3818,2,2,Nadiad,18492399
2394,1,3,Junagadh,9590187
2485,4,4,Gandhinagar,13054197
2161,2,4,Anand,10250446
4189,2,1,Ahmedabad,19786807
3898,5,2,Junagadh,14310898
1494,2,2,Gandhinagar,10074143
1347,1,1,Vadodara,9396160
3287,1,4,Vadodara,15668042
892,4,4,Porbandar,5148828
4249,1,3,Vadodara,15922342
4696,5,1,Bhavnagar,17493596
4589,5,3,Rajkot,20189865
2863,2,1,Rajkot,14016971
2418,3,3,Surat,11758606
3842,3,3,Ahmedabad,15822548
4150,5,3,Surat,19243876
4237,4,1,Surat,18974724
4916,1,3,Surat,18193452
4727,4,2,Anand,17414342
1124,5,4,Vadodara,7811076
581,1,2,Porbandar,5059332
674,1,2,Gandhinagar,7582025
707,4,3,Nadiad,6068344
508,4,2,Porbandar,5224085
1799,3,1,Jamnagar,9648996
502,1,2,Nadiad,5106880
3293,2,3,Jamnagar,13067105
2359,4,4,Rajkot,10731578
1557,5,1,Anand,9067213
1468,1,4,Rajkot,8408612
3608,4,2,Ahmedabad,17712620
4041,5,2,Ahmedabad,17241938
1282,4,2,Porbandar,7579080
760,1,2,Ahmedabad,7017757
4764,2,4,Nadiad,19363197
2258,3,1,Junagadh,10100900
1370,4,4,Jamnagar,6983333
4626,1,4,Anand,17979588
588,2,2,Bhavnagar,4751987
2756,4,3,Vadodara,12509154
819,3,4,Bhavnagar,5608963
3587,5,2,Nadiad,15499455
2307,2,4,Gandhinagar,13856814
4003,3,2,Nadiad,20090724
2456,1,1,Porbandar,10111726
1888,4,2,Ahmedabad,10126571
4343,5,2,Rajkot,20449755
3217,4,2,Ahmedabad,15904286
1123,3,4,Gandhinagar,9249151
2736,3,2,Jamnagar,13576160
4963,5,1,Rajkot,17603982
1363,2,1,Ahmedabad,8576056
4568,5,3,Rajkot,18153834
908,4,1,Ahmedabad,7395369
3863,1,4,Nadiad,18087333
2174,1,1,Surat,11180628
1283,5,3,Porbandar,7701083
2914,4,4,Ahmedabad,15332506
3361,5,2,Anand,14813056
1001,1,2,Gandhinagar,7652494
3401,4,4,Jamnagar,14900120
2370,3,1,Ahmedabad,12700693
4679,5,4,Ahmedabad,21733077
1142,1,2,Junagadh,6258279
4016,2,2,Junagadh,15778432
2497,1,4,Surat,11395109
2298,1,1,Surat,10790964
4106,1,2,Anand,15795324
640,1,1,Ahmedabad,6688525
4525,2,3,Surat,18732309
2855,1,4,Junagadh,14255483
4876,2,1,Porbandar,21556468
4248,4,3,Jamnagar,20105704
2189,1,2,Bhavnagar,11099550
3440,1,2,Rajkot,14368510
2272,2,2,Bhavnagar,10954321
4450,4,2,Surat,22554755
3448,1,1,Surat,16987979
3653,5,1,Vadodara,16344825
3833,1,4,Surat,18916271
1725,3,3,Ahmedabad,10579788
4907,2,4,Anand,23490382
1589,5,4,Nadiad,9681511
3291,1,2,Porbandar,13980286
2337,1,3,Gandhinagar,11551240
3132,5,1,Junagadh,14691586
3905,4,2,Vadodara,17975861
3491,1,4,Junagadh,14166858
888,3,4,Rajkot,5745729
1324,2,1,Surat,8383455
4139,3,1,Surat,19190300
1746,3,1,Jamnagar,9759236
3829,5,2,Vadodara,16662403
3906,3,1,Surat,16142134
3780,5,4,Ahmedabad,16793004
2707,2,4,Porbandar,12218960
3721,2,4,Surat,15714701
2947,3,2,Bhavnagar,11245314
1582,3,3,Bhavnagar,7322934
3330,3,4,Nadiad,15531572
3218,3,4,Nadiad,16538543
2366,1,2,Jamnagar,10422102
1462,5,1,Jamnagar,8681145
1448,5,2,Nadiad,7737387
4360,2,3,Porbandar,16709113
3511,5,2,Ahmedabad,18642515
4884,5,3,Surat,19127694
1821,1,1,Junagadh,8292730
4717,5,4,Nadiad,19726937
2922,1,4,Junagadh,14011389
4898,1,2,Porbandar,22336132
4087,3,3,Vadodara,19084459
2157,2,3,Jamnagar,9558866
1285,1,4,Surat,8403915
2153,1,3,Anand,11207873
4320,2,3,Junagadh,18490833
1201,2,4,Surat,9108967
906,5,2,Rajkot,6119948
1613,2,2,Gandhinagar,9509454
3667,2,1,Porbandar,18808922
1519,4,4,Junagadh,8469408
543,5,1,Rajkot,5065549
784,2,1,Jamnagar,6267749
1996,4,2,Nadiad,10601285
2461,1,2,Ahmedabad,11397122
1338,3,3,Anand,8566668
3151,4,3,Jamnagar,12038922
2583,2,2,Jamnagar,13838291
3153,1,4,Junagadh,13010881
3159,3,3,Vadodara,13530485
2187,1,2,Bhavnagar,10053769
3221,2,3,Porbandar,14990585
3518,4,4,Anand,13492044
3996,1,1,Surat,17061240
4872,3,2,Anand,18751138
1570,2,2,Vadodara,9296076
3539,4,4,Junagadh,16165095
1268,3,4,Porbandar,7515717
4963,3,4,Gandhinagar,20167059
1696,3,4,Rajkot,8207631
4309,5,2,Surat,20375504
4565,4,3,Jamnagar,15810526
2311,5,3,Nadiad,12648256
2687,4,2,Junagadh,10859196
1993,1,3,Jamnagar,9872827
2758,5,2,Gandhinagar,15381031
1866,1,1,Anand,11336324
4954,4,4,Surat,23201517
3793,4,3,Junagadh,17295257
4109,5,1,Porbandar,14664437
1516,4,2,Bhavnagar,9002595
4686,4,1,Ahmedabad,18406492
3509,1,3,Bhavnagar,15022845
1148,3,1,Junagadh,6440071
3943,3,1,Jamnagar,17625030
4719,5,2,Vadodara,21179711
3646,5,3,Surat,18991548
4196,5,1,Jamnagar,19366379
3842,1,4,Ahmedabad,19261123
2528,4,4,Gandhinagar,14081715
1683,2,3,Vadodara,10115953
4791,4,1,Ahmedabad,21955304
3642,5,4,Anand,18082939
1330,4,2,Jamnagar,8333657
857,2,3,Surat,6788325
2441,5,3,Junagadh,10716665
1838,5,4,Junagadh,9887705
2222,4,1,Vadodara,10405057
2454,3,1,Surat,13339055
4603,5,2,Rajkot,19753187
1118,1,2,Surat,7861770
2594,5,3,Gandhinagar,12669670
2798,1,2,Gandhinagar,14496651
743,2,3,Nadiad,5870504
676,1,4,Nadiad,5615870
4623,3,3,Jamnagar,19941371
2660,5,3,Surat,14576677
3541,2,1,Ahmedabad,16083085
3539,3,3,Junagadh,14809337
4809,3,3,Nadiad,20621145
4060,5,4,Vadodara,18926718
1817,5,4,Surat,11397255
681,2,1,Ahmedabad,6944094
2380,4,4,Junagadh,9773672
3424,1,4,Nadiad,15514340
4152,5,2,Rajkot,17919247
726,5,1,Anand,6021696
1221,1,3,Junagadh,6693437
4179,5,4,Surat,20124600
1670,3,4,Junagadh,8009214
762,5,4,Rajkot,6203487
3897,2,4,Rajkot,18219337
3568,5,4,Anand,16833046
1357,5,3,Nadiad,7846918
1613,1,3,Jamnagar,7799775
3639,1,4,Ahmedabad,18191782
4967,1,1,Surat,22977032
2117,5,1,Surat,11863497
1230,4,3,Nadiad,8132335
3248,3,3,Surat,16662117
1162,4,3,Rajkot,6789793
2199,2,2,Bhavnagar,10124248
1775,2,2,Vadodara,10275839
4304,2,3,Gandhinagar,19431554
1106,4,2,Surat,8681863
810,1,3,Jamnagar,5795942
1787,3,4,Vadodara,10078346
4431,4,4,Ahmedabad,19042986
4446,2,2,Vadodara,19490157
2563,1,3,Ahmedabad,14076750
1809,1,1,Junagadh,8280711
2255,5,3,Surat,13190403
661,5,3,Anand,6200901
2240,3,3,Jamnagar,10136775
4251,4,4,Gandhinagar,20209468
3099,2,2,Jamnagar,12288001
4583,3,1,Gandhinagar,18812847
2649,5,1,Surat,14750320
3127,3,3,Nadiad,16156217
2046,1,3,Surat,11048185
3606,1,1,Vadodara,14501559
4034,1,2,Ahmedabad,16720778
3371,3,3,Ahmedabad,16518223
910,1,3,Surat,7153744
1615,2,2,Junagadh,7210414
2025,4,1,Jamnagar,9873592
4547,2,1,Rajkot,19277434
1809,5,2,Anand,10404785
2275,5,4,Ahmedabad,13572385
3629,3,4,Anand,15409127
3280,2,4,Ahmedabad,13890451
1511,3,3,Junagadh,7617262
4357,5,1,Ahmedabad,19330775
2775,5,2,Rajkot,14050025
3649,1,1,Bhavnagar,17480054
3280,1,3,Jamnagar,12604347
1848,2,1,Gandhinagar,12030483
1525,4,3,Jamnagar,7854259
1205,5,4,Nadiad,7070077
4569,1,3,Ahmedabad,23488109
3589,3,4,Nadiad,15075434
4281,4,1,Junagadh,16216425
1907,5,4,Surat,10893898
508,1,2,Bhavnagar,4817874
2616,4,3,Surat,14862168
3414,2,1,Bhavnagar,13134902
4691,2,2,Jamnagar,18311357
1396,1,2,Gandhinagar,8967516
4151,5,2,Rajkot,18640732
4488,1,1,Bhavnagar,20613341
2383,4,2,Rajkot,12830286
3596,1,1,Surat,14833404
4028,3,4,Nadiad,18993664
2371,5,4,Vadodara,12988218
2439,3,1,Ahmedabad,13502534
1618,2,2,Porbandar,7303209
4321,1,2,Surat,20439059
1372,3,1,Bhavnagar,8231885
3056,5,2,Ahmedabad,14076460
872,5,1,Jamnagar,6161638
3385,4,4,Ahmedabad,14554419
3083,4,2,Bhavnagar,14013378
577,4,3,Junagadh,4707590
2734,4,2,Nadiad,12441767
3153,4,4,Anand,12483334
1911,4,4,Jamnagar,9555657
538,4,1,Jamnagar,4888051
4759,4,1,Gandhinagar,20330946
3720,4,3,Gandhinagar,16989920
1899,4,4,Vadodara,10329562
1222,3,1,Bhavnagar,6833788
965,5,1,Surat,7833143
1643,1,3,Nadiad,9973592
3370,4,2,Ahmedabad,14518764
2405,4,1,Surat,11927375
2436,3,2,Rajkot,10431416
2906,2,3,Ahmedabad,13980932
688,4,3,Jamnagar,5431096
3182,2,1,Surat,16786296
2367,2,3,Bhavnagar,9558916
3999,3,2,Junagadh,19217313
4996,1,3,Ahmedabad,22125322
2827,1,3,Surat,15610294
803,1,4,Ahmedabad,6899225
4599,3,3,Rajkot,22005072
1870,4,2,Jamnagar,8500436
2141,2,3,Surat,10330032
1843,3,3,Anand,10927103
3867,1,1,Bhavnagar,16141675
2391,2,1,Ahmedabad,12543970
3822,3,1,Bhavnagar,16479351
1693,2,3,Nadiad,8635401
2322,5,1,Bhavnagar,11691236
1017,1,4,Surat,7300958
3262,1,1,Gandhinagar,15288272
4044,1,1,Nadiad,15242615
4859,2,1,Ahmedabad,20135343
4436,3,2,Ahmedabad,19090971
1142,2,4,Nadiad,6701854
3304,2,2,Anand,13901733
3235,3,3,Nadiad,15473146
4476,2,4,Jamnagar,16151959
1774,4,2,Ahmedabad,11179477
3267,4,1,Bhavnagar,14272354
2882,2,3,Surat,14624959
2870,4,1,Ahmedabad,14291876
4684,4,4,Vadodara,20993085
4687,3,3,Rajkot,19659122
601,4,3,Junagadh,4636025
1793,1,2,Nadiad,10368335
551,4,2,Vadodara,5675099
4178,2,3,Ahmedabad,22039822
1044,4,2,Nadiad,7521903
2522,3,1,Gandhinagar,15142037
4025,5,2,Nadiad,16498609
2207,1,4,Rajkot,10776188
2596,4,3,Vadodara,13708113
1837,1,1,Nadiad,10067118
3203,1,2,Jamnagar,13495983
781,2,4,Rajkot,6195204
2693,2,1,Anand,11548410
2718,2,2,Vadodara,13341292
3249,2,3,Junagadh,14294157
2886,5,2,Anand,13307320
4001,3,4,Gandhinagar,19024713
1407,5,2,Anand,8335858
3045,5,1,Jamnagar,15066744
560,1,2,Ahmedabad,6362982
3708,3,3,Vadodara,16101358
4307,1,2,Ahmedabad,21330803
1975,3,3,Vadodara,11074673
4864,5,3,Ahmedabad,22274666
4821,3,3,Gandhinagar,20720843
2878,1,4,Anand,12004326
4225,5,3,Junagadh,16271897
591,5,1,Junagadh,4856185
2905,3,4,Jamnagar,11159566
2476,4,3,Surat,12865528
4079,3,1,Gandhinagar,16767352
1637,4,4,Ahmedabad,9359693
3397,5,3,Gandhinagar,18025286
3672,5,4,Nadiad,18584295
4638,3,1,Jamnagar,17860433
2014,1,4,Gandhinagar,12326195
1392,4,1,Surat,8987698
3463,4,2,Bhavnagar,16716050
3829,5,3,Gandhinagar,18330544
661,3,4,Junagadh,4788147
3145,4,3,Vadodara,14626131
4180,2,1,Anand,15298960
982,2,1,Anand,6649047
815,5,4,Bhavnagar,6070593
3311,1,1,Gandhinagar,16078813
1721,2,4,Anand,8529355
4456,1,2,Rajkot,21257902
1660,2,2,Rajkot,8442105
1449,5,1,Vadodara,8846909
593,1,1,Surat,6171586
647,1,2,Ahmedabad,6373943
4791,3,2,Jamnagar,17144200
551,3,4,Nadiad,5386118
1427,1,3,Anand,9132268
1930,3,1,Ahmedabad,10972752
2152,4,4,Nadiad,10632336
2971,3,4,Junagadh,12736026
3257,3,3,Anand,15288058
4902,5,2,Nadiad,23726681
1577,5,3,Gandhinagar,9593078
2854,2,2,Anand,12725997
2274,4,3,Rajkot,12121593
4266,4,2,Nadiad,18397430
1791,2,2,Anand,10780153
1635,2,2,Junagadh,8715498
3722,5,4,Jamnagar,15868475
1857,4,2,Bhavnagar,9032009
2908,3,2,Anand,14412118
3089,3,2,Surat,16298695
3002,5,2,Surat,13621457
1933,5,1,Bhavnagar,10120536
2027,1,1,Anand,10147472
2710,5,3,Rajkot,12032711
1556,4,3,Anand,8270217
4567,5,3,Bhavnagar,20605364
4367,1,3,Nadiad,16357652
3838,5,4,Nadiad,16877828
1424,1,3,Junagadh,7065616
2912,4,2,Ahmedabad,14180966
1527,4,3,Ahmedabad,10304130
2537,4,4,Vadodara,14368630
2105,3,4,Jamnagar,11569786
3852,4,4,Gandhinagar,16623987
1462,3,3,Nadiad,7438593
1161,1,2,Rajkot,7256205
2515,5,3,Rajkot,12846370
3334,5,2,Bhavnagar,15576231
3365,2,4,Rajkot,16585114
3517,1,2,Jamnagar,17562386
3347,3,3,Bhavnagar,12942409
4642,5,4,Surat,19432506
4996,4,1,Jamnagar,20691978
4147,2,2,Rajkot,16480241
3315,1,3,Anand,16773068
1764,1,4,Jamnagar,10217666
2391,1,4,Bhavnagar,9744796
2198,5,2,Vadodara,12311487
1571,3,2,Rajkot,8882557
4978,1,2,Ahmedabad,19495266
1256,3,2,Gandhinagar,9541804
1142,2,3,Anand,7004745
598,5,4,Nadiad,5763753
2822,1,3,Jamnagar,12927718
1657,5,1,Ahmedabad,10622865
4844,2,1,Surat,21243462
1127,2,4,Junagadh,6865064
3178,3,1,Rajkot,16263823
865,4,2,Jamnagar,6031088
3366,5,2,Bhavnagar,13873543
988,3,1,Junagadh,6045560
2331,3,3,Nadiad,10798217
4964,4,2,Porbandar,21312258
4954,4,3,Gandhinagar,22965106
3425,2,2,Bhavnagar,15788597
2107,4,2,Ahmedabad,12637643
1951,1,1,Nadiad,10268484
1302,5,1,Gandhinagar,10238867
3560,1,1,Anand,15053925
2924,1,2,Rajkot,14471476
1359,3,4,Ahmedabad,10033614
2626,2,2,Gandhinagar,13990041
3227,2,4,Jamnagar,13757996
2901,2,2,Ahmedabad,15935962
2835,4,2,Bhavnagar,10753153
596,5,1,Jamnagar,5123985
612,3,3,Jamnagar,4909601
628,2,4,Surat,6059893
4941,5,3,Vadodara,22072172
3633,4,2,Bhavnagar,17437974
2521,3,1,Anand,13974321
4554,1,1,Bhavnagar,15918592
1255,2,3,Nadiad,7879216
